,result__problem__contestId,result__problem__name,result__problem__rating,result__problem__tags__001,result__problem__tags__002,result__problem__tags__009,result__author__members__handle,result__author__participantType,result__author__teamId,result__author__teamName,result__verdict
0,1690.0,Shifting String,1700.0,graphs,math,,_Satoru_,PRACTICE,,,OK
1,1673.0,Palindrome Basis,1500.0,brute force,dp,,_Satoru_,PRACTICE,,,OK
2,1635.0,Infinite Set,1800.0,bitmasks,dp,,_Satoru_,PRACTICE,,,OK
3,1646.0,Weight the Tree,2000.0,constructive algorithms,dfs and similar,,_Satoru_,PRACTICE,,,OK
4,1634.0,Fortune Telling,1400.0,bitmasks,math,,_Satoru_,VIRTUAL,,,OK
5,1646.0,Power Board,2200.0,brute force,dp,,_Satoru_,PRACTICE,,,OK
6,1673.0,Lost Arithmetic Progression,1900.0,combinatorics,math,,_Satoru_,PRACTICE,,,OK
7,1679.0,Toss a Coin to Your Graph...,1900.0,binary search,dfs and similar,,_Satoru_,PRACTICE,,,OK
8,1691.0,Max GEQ Sum,1800.0,binary search,constructive algorithms,,_Satoru_,PRACTICE,,,OK
9,1691.0,Number of Groups,2300.0,data structures,dfs and similar,,_Satoru_,PRACTICE,,,OK
10,1691.0,Sum of Substrings,1400.0,brute force,constructive algorithms,,_Satoru_,CONTESTANT,,,OK
11,1670.0,Very Suspicious,1700.0,binary search,brute force,,_Satoru_,VIRTUAL,,,OK
12,1670.0,Where is the Pizza?,1400.0,data structures,dfs and similar,,_Satoru_,VIRTUAL,,,OK
13,1685.0,Linguistics,2000.0,greedy,implementation,,_Satoru_,PRACTICE,,,OK
14,1316.0,Primitive Primes,1800.0,constructive algorithms,math,,_Satoru_,PRACTICE,,,OK
15,1642.0,Anonymity Is Important,2200.0,binary search,data structures,,_Satoru_,PRACTICE,,,OK
16,1642.0,Repetitions Decoding,2000.0,constructive algorithms,sortings,,_Satoru_,VIRTUAL,,,OK
17,1648.0,Integral Array,1800.0,brute force,constructive algorithms,,_Satoru_,PRACTICE,,,OK
18,1684.0,Traps,1700.0,constructive algorithms,greedy,,_Satoru_,VIRTUAL,,,OK
19,1684.0,Column Swapping,1400.0,brute force,constructive algorithms,,_Satoru_,VIRTUAL,,,OK
20,1677.0,Tokitsukaze and Strange Inequality,1600.0,brute force,data structures,,_Satoru_,PRACTICE,,,TIME_LIMIT_EXCEEDED
21,1472.0,New Year's Puzzle,2100.0,brute force,dp,,_Satoru_,PRACTICE,,,OK
22,1187.0,Tree Painting,2100.0,dfs and similar,dp,,_Satoru_,PRACTICE,,,OK
23,1486.0,Max Median,2100.0,binary search,data structures,,_Satoru_,PRACTICE,,,OK
24,1680.0,Binary String,1600.0,binary search,greedy,,_Satoru_,PRACTICE,,,OK
25,1591.0,Minimize Distance,1300.0,greedy,math,,_Satoru_,PRACTICE,,,OK
26,1637.0,Best Pair,2100.0,binary search,brute force,,_Satoru_,PRACTICE,,,OK
27,1618.0,Array and Operations,1300.0,dp,greedy,,_Satoru_,PRACTICE,,,OK
28,1615.0,And It's Non-Zero,1300.0,bitmasks,greedy,,_Satoru_,PRACTICE,,,OK
29,1669.0,Maximal AND,1300.0,bitmasks,greedy,,_Satoru_,PRACTICE,,,OK
30,1671.0,Insert a Progression,1600.0,brute force,constructive algorithms,,_Satoru_,PRACTICE,,,WRONG_ANSWER
31,1567.0,Carrying Conundrum,1600.0,bitmasks,combinatorics,,_Satoru_,PRACTICE,,,OK
32,1659.0,Bit Flipping,1300.0,bitmasks,constructive algorithms,,_Satoru_,PRACTICE,,,OK
33,1659.0,Line Empire,1500.0,binary search,brute force,,_Satoru_,PRACTICE,,,OK
34,1659.0,Reverse Sort Sum,1900.0,constructive algorithms,data structures,,_Satoru_,PRACTICE,,,OK
