,result__problem__contestId,result__problem__name,result__problem__rating,result__problem__tags__001,result__problem__tags__002,result__author__members__handle,result__author__participantType,result__verdict
0,630,Indivisibility,1500.0,math,number theory,Mayur9agt,PRACTICE,OK
1,154,Colliders,1600.0,math,number theory,Mayur9agt,PRACTICE,OK
2,75,Modified GCD,1600.0,binary search,number theory,Mayur9agt,PRACTICE,OK
3,380,Sereja and Brackets,2000.0,data structures,schedules,Mayur9agt,PRACTICE,OK
4,339,Xenia and Bit Operations,1700.0,data structures,trees,Mayur9agt,PRACTICE,OK
5,495,Modular Equations,1600.0,math,number theory,Mayur9agt,PRACTICE,OK
6,1349,Orac and LCM,1600.0,data structures,math,Mayur9agt,PRACTICE,OK
7,546,Soldier and Number Game,1700.0,constructive algorithms,dp,Mayur9agt,PRACTICE,OK
8,582,GCD Table,1700.0,constructive algorithms,greedy,Mayur9agt,PRACTICE,OK
9,111,Petya and Divisors,1900.0,binary search,data structures,Mayur9agt,PRACTICE,OK
10,1691,Max GEQ Sum,1800.0,binary search,constructive algorithms,Mayur9agt,PRACTICE,OK
11,1622,Set or Decrease,1600.0,binary search,brute force,Mayur9agt,PRACTICE,OK
12,1165,Almost All Divisors,1600.0,math,number theory,Mayur9agt,PRACTICE,OK
13,1561,Deep Down Below,1300.0,binary search,greedy,Mayur9agt,PRACTICE,OK
14,1061,Multiplicity,1700.0,data structures,dp,Mayur9agt,PRACTICE,OK
15,1305,Kuroni and Impossible Calculation,1600.0,brute force,combinatorics,Mayur9agt,PRACTICE,OK
16,1612,X-Magic Pair,1600.0,math,number theory,Mayur9agt,PRACTICE,OK
17,1688,Manipulating History,1700.0,constructive algorithms,greedy,Mayur9agt,CONTESTANT,OK
18,1688,The Enchanted Forest,1600.0,greedy,implementation,Mayur9agt,CONTESTANT,OK
19,71,Round Table Knights,1600.0,dp,math,Mayur9agt,PRACTICE,WRONG_ANSWER
20,1228,Primes and Multiplication,1700.0,math,number theory,Mayur9agt,PRACTICE,OK
21,1537,Deleting Divisors,1700.0,games,math,Mayur9agt,PRACTICE,OK
22,576,Vasya and Petya's Game,1500.0,math,number theory,Mayur9agt,PRACTICE,OK
23,1691,Sum of Substrings,1400.0,brute force,constructive algorithms,Mayur9agt,CONTESTANT,OK
24,1459,Row GCD,1600.0,math,number theory,Mayur9agt,PRACTICE,OK
25,1117,Magic Ship,1900.0,binary search,,Mayur9agt,PRACTICE,OK
26,1010,Rocket,1800.0,binary search,interactive,Mayur9agt,PRACTICE,WRONG_ANSWER
27,1010,Mars rover,2000.0,dfs and similar,graphs,Mayur9agt,PRACTICE,RUNTIME_ERROR
28,1407,Chocolate Bunny,1600.0,constructive algorithms,interactive,Mayur9agt,PRACTICE,OK
29,954,Water Taps,2000.0,binary search,greedy,Mayur9agt,PRACTICE,OK
30,1486,Guessing the Greatest (easy version),1600.0,binary search,interactive,Mayur9agt,PRACTICE,OK
